pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
00117cc,Mining,mining,,"Mining, People, Men, Miners, Buildings",Unidentified group of miners (Hasty Collection) ,,This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,115,cmhc_item,"/img/derivatives/iiif/images/00117cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00117cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00117cc/manifest.json,cmhc
01224cc,Buildings & Businesses,bandb,Leadville (Colo.),"Buildings, Houses",Horace and Augusta Tabor's home (Tabor home),"Horace Tabor, Augusta Tabor",This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24761,-106.29089,Photo,Scanned Negative,1150,cmhc_item,"/img/derivatives/iiif/images/01224cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01224cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01224cc/manifest.json,cmhc
01225cc,Buildings & Businesses,bandb,Leadville (Colo.),"Buildings, Businesses, Harrison Avenue","The Bank of Leadville, Harrison Avenue and Chestnut Street (Tabor home)",Horace Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24446,-106.29048,Photo,Scanned Negative,1151,cmhc_item,"/img/derivatives/iiif/images/01225cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01225cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01225cc/manifest.json,cmhc
01226cc,People,people,Leadville (Colo.),"People, Women","Elizabeth ""Baby Doe""(McCourt Doe) Tabor, 1854-1935 (Tabor home)","Elizabeth ""Baby Doe""(McCourt Doe) Tabor ",This photo is property of Lake County Civic Center Association.,1854-1935,2021-03-30,,,Photo,Scanned Negative,1152,cmhc_item,"/img/derivatives/iiif/images/01226cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01226cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01226cc/manifest.json,cmhc
01228cc,People,people,Leadville (Colo.),"People, Women","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor (Tabor home)","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1153,cmhc_item,"/img/derivatives/iiif/images/01228cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01228cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01228cc/manifest.json,cmhc
01229cc,People,people,Leadville (Colo.),"People, Men",Horace Tabor (Tabor home),Horace Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1154,cmhc_item,"/img/derivatives/iiif/images/01229cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01229cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01229cc/manifest.json,cmhc
01230cc,People,people,Leadville (Colo.),"People, Women","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor (Tabor home)","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1155,cmhc_item,"/img/derivatives/iiif/images/01230cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01230cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01230cc/manifest.json,cmhc
01231cc,People,people,Leadville (Colo.),"People, Men",Horace Tabor (Tabor home),Horace Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1156,cmhc_item,"/img/derivatives/iiif/images/01231cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01231cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01231cc/manifest.json,cmhc
01232cc,People,people,Leadville (Colo.),"People, Women","Elizabeth's (Nellis) McCourt, Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's mother (Tabor home)",Elizabeth (Nellis) McCourt,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1157,cmhc_item,"/img/derivatives/iiif/images/01232cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01232cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01232cc/manifest.json,cmhc
01233cc,People,people,Leadville (Colo.),"People, Men","Peter McCourt Jr., Elizabeth ""Baby Doe"" (McCourt Doe) Tabor's brother (Tabor home)",Peter McCourt Jr.,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1158,cmhc_item,"/img/derivatives/iiif/images/01233cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01233cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01233cc/manifest.json,cmhc
